storeNo,storeNoName,longitude,latitude,countryRegion
020,020 EP LEKNES,13.60656,68.14733,Nord-Norge
117,117 EP EIKER,9.90383,59.76127,Østlandet
598,598 EP STORD,5.46072,59.76431,Vestlandet
442,442 EP PORSGRUNN,9.63716,59.14058,Østlandet
498,498 EP ØRSTA,6.11815,62.2025,Vestlandet
339,339 EP EIDSVÅG,8.0628,62.77611,Vestlandet
345,345 EP BRYNE,5.65268,58.735,Vestlandet
435,435 EP MOSJØEN,13.19153,65.84149,Nord-Norge
135,135 EP ODDA,6.55186,60.06968,Vestlandet
449,449 EP SARTOR STORSENTER,5.12407,60.3585,Vestlandet
620,620 EP LENA,10.81152,60.67529,Østlandet
372,372 EP BODØ - utgått,14.41907,67.27818,Nord-Norge
395,395 EP HORTEN,10.4845,59.40765,Østlandet
438,438 EP LIERTOPPEN,10.30585,59.81129,Østlandet
412,412 EP SOGNDAL,7.22033,61.19165,Vestlandet
589,589 EP HARSTAD,16.54183,68.79191,Nord-Norge
163,163 EP VERDAL - utgått,"","",Trøndelag
443,443 EP LANGRØNNINGEN,9.52422,58.97256,Østlandet
430,430 EP FINNSNES,17.98739,69.2294,Nord-Norge
397,397 EP OPPDAL,9.69372,62.59396,Trøndelag
171,171 EP AVALDNES - utgått,"","",Vestlandet
178,178 EP VENNESLA - utgått,"","",Sørlandet
499,499 EP ULSTEINVIK,5.85497,62.33976,Vestlandet
613,613 EP VÅGSBYGD,7.96338,58.12493,Sørlandet
603,603 EP VOSS,6.42603,60.6279,Vestlandet
185,185 EP LARVIK - utgått,"","",Østlandet
010,010 010 Testbutikk,"","",Østlandet
642,642 EP JØRPELAND/STRAND,6.03994,59.02063,Vestlandet
470,470 EP BØMLO,5.18529,59.79601,Vestlandet
209,209 EP FREDRIKSTAD,10.98454,59.24484,Østlandet
636,636 EP OTTA,9.54336,61.77119,Østlandet
384,384 EP NÆRBØ,5.63669,58.66486,Vestlandet
419,419 EP SVOLVÆR,14.56416,68.23618,Nord-Norge
213,213 EP LIAMYRANE - utgått,"","",Vestlandet
413,413 EP MYSEN,11.34179,59.55181,Østlandet
610,610 EP SØRKJOSEN,20.95096,69.78637,Nord-Norge
216,216 EP RANDABERG,5.63761,58.99532,Vestlandet
218,218 EP SØRLANDSPARKEN - utgått,"","",Sørlandet
436,436 EP LILLESAND,8.39377,58.26122,Sørlandet
595,595 EP HERKULES,9.59715,59.1951,Østlandet
221,221 EP STØPERIGATEN STAVANGER,5.75388,58.97004,Vestlandet
222,222 EP KRISTIANSAND - utgått,8.02848,58.15754,Sørlandet
223,223 EP SANDNES,5.73966,58.84829,Vestlandet
224,224 EP LIERSTRANDA,10.24926,59.74989,Østlandet
